Date de création	Type	Catégorie	Équipe	Produit	Ligne	Famille	Défaut	Qte défaut	Phase d'origine	Phase de détection
2025-03-17	Scrap	reglage	Matin	PPC_F.P	F.P	FIRST PLASTIQUE	Platine cassé	1	Poste d'enfonçage ressort et coulissement balai	Poste d'enfonçage ressort et coulissement balai
2025-03-17	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Fourchette (2) endommagé	4	soudure fourchette /ICH/ resistance/ condo	test electrique
2025-03-17	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	vernis sur boitier	1	vernissage automatique	vernissage automatique
2025-03-17	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Fourchette (1) endommagé	1	soudure fourchette /ICH/ condo	test electrique
2025-03-17	Scrap	process	Matin	PPC VM4/HORAIRE	VM4 AUTO II	VM4	contact déformé	4	mise en place de composants sur palettes	mise en place de composants sur palettes
2025-03-17	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Soudure self  écrasée	3	soudure électrique self / shunt  sur lame Flex2	Controle finale Flex 2 partie B
2025-03-17	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Patte de masse déformée	1	Chargement et déchargement boitier sur palette_Flex 2	controle finale Flex 2 partie A
2025-03-17	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Boîtier cassé	43	Soudure condo axiale flex 2	Controle soudure condo axiale et boutrollage
2025-03-17	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	soudure condo écrasé	3	Soudure condo axiale flex 2	Controle soudure condo axiale et boutrollage
2025-03-17	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Faux défaut TE	56	Test électrique Flex 2	Test électrique Flex 2
2025-03-17	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Mauvais bouterollage lame balai /boitier	6	Sertissage lamme boitier et boutrollage Flex-2	Mise en place condo axial-Flex2
2025-03-17	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Balai cassé	15	Assemblage balai / Lame ressort	Assemblage balai / Lame ressort
2025-03-17	Scrap	process	A Midi	505-927	DCK	DCK	self diode écraser	4	Soudure self-Diode	Soudure self-Diode
2025-03-17	Scrap	process	A Midi	505-927	DCK	DCK	soudure self connexion1 écrsé	2	soudure 1er self/terminal& montage 2eme self	soudure self /terminal 2
